ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
5280	j a l a m + a k w a	2193 1492	bee	665	Lule	yalám acuá	? ?	Lule-Vilela	j a l a m + a k w a	yalám acuá			moro moro
5281	None	1494 1492	bee	665	Lule	ané acuá	? ?	Lule-Vilela	a n e + a k u a	ané acuá			Its beehive is under the ground
5282	None	4407 2193 1492	bee	665	Lule	cués umué acuá	? ?	Lule-Vilela	k u e s + u m u e + a k u a	cués umué acuá			Big black bee, its honey lacks wax
5283	None	4408 1492	bee	665	Lule	coalecs+acua	? ?	Lule-Vilela	k o a l e k s + a k w a	coalecs acua			Lechiguana (it hangs from trees)
5284	None	2193 1492	bee	665	Lule	amil acuá	? ?	Lule-Vilela	a m i l + a k u a	amil acuá			Lechiguana (it grows in the grass)
5285	None	2194	parrot	882	Lule	ele		Lule-Vilela	e l e	ele			
5286	None	3457	flea	232	Lule	pinpin		Lule-Vilela	p i n p i n	pinpin			
5287	k u n ai ts	4409	fly	1504	Lule	cunayç		Lule-Vilela	k u n ai ts	cunayç			
5288	None	4410	deer	1936	Lule	shalá		Lule-Vilela	s ʔ a l a	shalá			
5289	None	783 2202	calf	1989	Lule	vaca cué		Lule-Vilela	w a k a + k u e	vaca cué			
5290	None	3470	ant	587	Lule	comá		Lule-Vilela	k o m a	comá			
5291	None	4411	ant	587	Lule	uahapahamá		Lule-Vilela	w a ʔ a p a ʔ a m a	uahapahamá			Black. It lives in the trees
5292	None	785	ant	587	Lule	lasy		Lule-Vilela	l a s i	lasy			Black. Lives on the ground and eats maize.
5293	l a k a k ai	1503	ant	587	Lule	lacacáy		Lule-Vilela	l a k a k ai	lacacáy			Brown
5294	None	299	ant	587	Lule	acuá		Lule-Vilela	a k u a	acuá			Red
5295	None	4412	ant	587	Lule	opeopé		Lule-Vilela	o p e o p e	opeopé			Red
5296	u j a m	3470	ant	587	Lule	uyám		Lule-Vilela	u j a m	uyám			Red
5297	s o aː s	785	ant	587	Lule	soaás		Lule-Vilela	s o aː s	soaás			Red, small and prone to bite
5298	k o l o l oi	2723	ant	587	Lule	cololóy		Lule-Vilela	k o l o l oi	cololóy			Red, smelly and meek
5299	None	785	ant	587	Lule	su		Lule-Vilela	s u	su			Black, small and prone to bite
5300	None	4413	ant	587	Lule	enaná		Lule-Vilela	e n a n a	enaná			Red mouth, black body
5301	None	4414	fur	580	Lule	nacs		Lule-Vilela	n a k s	nacs			
5302	None	2728	hair (head)	2648	Lule	cauó		Lule-Vilela	k a u o	cauó			
5303	k a p ɬ e	4415	hair (head)	2648	Lule	caplhé		Lule-Vilela	k a p ɬ e	caplhé			
5304	None	4416	hair (head)	2648	Lule	scélp		Lule-Vilela	s k e l p	scélp			long
5305	None	4416	hair (head)	2648	Lule	scunéump		Lule-Vilela	s k u n e u m p	scunéump			curly
5306	None	2728	hair (head)	2648	Lule	sucué		Lule-Vilela	s u k u e	sucué			
5307	None	1512 4417	brain	1583	Lule	tocó sototóp		Lule-Vilela	t o k o + s o t o t o p	tocó sototóp			
5308	None	4418	penis	1222	Lule	pesú		Lule-Vilela	p e s u	pesú			
5309	None	4419 4420	yawn, gape	1028	Lule	capspá+ç		Lule-Vilela	k a p s p a + ts	capspá+ç			o boquear
5310	None	796 4421	skull	1605	Lule	tocó ysé	head leg	Lule-Vilela	t o k o + i s e	tocó ysé			
5311	None	798	nape of neck	1347	Lule	utuclhé		Lule-Vilela	u t u k ɫ e	utuclhé			
5312	None	4422	navel	1838	Lule	ys		Lule-Vilela	i s	ys			
5313	j o k u s	2747	face	1560	Lule	yocus		Lule-Vilela	j o k u s	yocus			t. gesto
5314	t oi p	1526	body	1480	Lule	toip		Lule-Vilela	t oi p	toip			
5315	None	1530 4423	dream	1920	Lule	equics+ç		Lule-Vilela	e k i k s + ts	equics+ç			
5316	None	4137	flesh	2259	Lule	lop		Lule-Vilela	l o p	lop			
5317	None	4424	body hair	189	Lule	suhcué		Lule-Vilela	s u ʔ k u e	suhcué			
5318	s k a j a u + ts	4425 1537	chew	321	Lule	scayau+ç		Lule-Vilela	s k a j a u + ts	scayau+ç			
5319	None	4426	under	1485	Lule	taquenma		Lule-Vilela	t a k e n m a	taquenma			
5320	None	819	bed	1663	Lule	sipé		Lule-Vilela	s i p e	sipé			
5321	None	3906	arrow	977	Lule	lahá		Lule-Vilela	l a ʔ a	lahá			lhá
5322	j a k + ts	1546 1545	plant (vb)	1486	Lule	yác+ç	plant _:inf	Lule-Vilela	j a k + ts	yácç			
5323	None	4427	pot, cooking vessel	1462	Lule	capá		Lule-Vilela	k a p a	capá			
5324	None	4428	bow	994	Lule	pins		Lule-Vilela	p i n s	pins			
5325	e + a j e	4429 4430	spear	945	Lule	e ayé		Lule-Vilela	e + a j e	e ayé			
5326	None	1553	village	930	Lule	enu		Lule-Vilela	e n u	enu			
5327	j a u p l e	4431	village	930	Lule	yauplé		Lule-Vilela	j a u p l e	yauplé			
5328	j a ʔ u p e	4431	village	930	Lule	yahupé		Lule-Vilela	j a ʔ u p e	yahupé			
5329	None	2235 4432	up, above	1591	Lule	zo+má	top _:posp	Lule-Vilela	ts o + m a	zomá			
5330	None	4433 2235	up, above	1591	Lule	zo+tá	top _:posp	Lule-Vilela	ts o + t a	zotá			
5331	None	2235 2234	up, above	1591	Lule	zo+lé	top _:posp	Lule-Vilela	ts o + l e	zolé			
5332	t oi p + m a	2235 4432	up, above	1591	Lule	toip+ma	top _:posp	Lule-Vilela	t oi p + m a	toipma			
5333	None	831 1557	bend	2004	Lule	niquilopocí+ç		Lule-Vilela	n i k i l o p o k i + ts	niquilopocí+ç			
5334	t a pˀ u l u t + ts	4434 1557	bend	2004	Lule	tappulut+ç		Lule-Vilela	t a pˀ u l u t + ts	tappulut+ç			
5335	None	1559 833	door, gate	1567	Lule	enu cá	house mouth	Lule-Vilela	e n u + k a	enu cá			
5336	None	4435	door, gate	1567	Lule	caémp		Lule-Vilela	k a e m p	caémp			Open door
5337	None	4436 4437	cover	761	Lule	pací+ç	cover _:inf	Lule-Vilela	p a k i + ts	pacíç			
5338	None	1562 4438	buy	1869	Lule	venéc+ç	buy _:inf	Lule-Vilela	w e n e k + ts	venécç			
5339	None	327 4439	burn (vb intrans)	1428	Lule	alé+ç	burn _:inf	Lule-Vilela	a l e + ts	aléç			
5340	None	4440 2791	mat	195	Lule	uacál talá		Lule-Vilela	w a k a l + t a l a	uacál talá			"manta de India"
5341	l o k w e p + m oi t l e	4441 4442 4443	nine	1483	Lule	locuép moitlé	four ?	Lule-Vilela	l o k w e p + m oi t l e	locuép moitlé			
5342	l o k u e p + a l a p e a	4441 4442 4444	nine	1483	Lule	locuép alapeâ	four ?	Lule-Vilela	l o k u e p + a l a p e a	locuép alapeâ			
5343	None	3908	club	1763	Lule	etipé		Lule-Vilela	e t i p e	etipé			
5344	None	4445 4446	choose	1750	Lule	aláp+ç		Lule-Vilela	a l a p + ts	aláp+ç			
5345	None	1571 4445 4446	choose	1750	Lule	nic+lap+ç		Lule-Vilela	n i k + l a p + ts	nic+lap+ç			con las manos
5346	None	843	fishnet	388	Lule	nauá		Lule-Vilela	n a u a	nauá			
5347	None	845 340	firewood	10	Lule	e po		Lule-Vilela	e + p o	e po			seca
5348	None	845 339	firewood	10	Lule	e za		Lule-Vilela	e + ts a	e za			verde
5349	i k i w a l ai + ts	4151 1583	turn around	1444	Lule	yquyualái+ç		Lule-Vilela	i k i w a l ai + ts	yquyualái+ç			
5350	None	2240 1583	turn around	1444	Lule	oá+ç		Lule-Vilela	o a + ts	oá+ç			
5351	None	1584 1583	turn around	1444	Lule	mahatá+ç		Lule-Vilela	m a ʔ a t a + ts	mahatá+ç			
5352	i w a j i + ts	4447 1583	turn around	1444	Lule	yuáyi+ç		Lule-Vilela	i w a j i + ts	yuáyi+ç			
5353	None	3521 1583	turn around	1444	Lule	pululús+ç		Lule-Vilela	p u l u l u s + ts	pululús+ç			vuelta dar en redondo
5354	None	1586 4150 1583	turn around	1444	Lule	nic+luc+ç		Lule-Vilela	n i k + l u k + ts	nic+luc+ç			dar vuelta o revolver
5355	None	3521 1583	turn around	1444	Lule	ululhup+ç		Lule-Vilela	u l u ɫ u p + ts	ululhup+ç			dar vueltas en torno
5356	None	4448	path	2252	Lule	vin		Lule-Vilela	w i n	vin			
5357	j oː	4449	gourd	411	Lule	yoó		Lule-Vilela	j oː	yoó			larga
5358	None	4450	gourd	411	Lule	cuuá		Lule-Vilela	k w u a	cuuá			
5359	None	2243	island	622	Lule	auylé		Lule-Vilela	a w i l e	auylé			
5360	a + t o + j e s i t i p	4451 4452 4453	island	622	Lule	a tó yesitip		Lule-Vilela	a + t o + j e s i t i p	a tó yesitip			
5361	e b e ɬ u	342	knife	1352	Lule	ebellú		Lule-Vilela	e b e ɬ u	ebellú			
5362	None	345	soul, spirit	811	Lule	ycé		Lule-Vilela	i k e	ycé			
5363	None	1611	people (populace)	789	Lule	pelé		Lule-Vilela	p e l e	pelé			
5364	None	859 4454	cry, weep	1839	Lule	se+ç	cry _:inf	Lule-Vilela	s e + ts	seç			
5365	u ˀj u ʔ i + ts	859 4454	cry, weep	1839	Lule	uhyuhi+ç	cry _:inf	Lule-Vilela	u ˀj u ʔ i + ts	uhyuhiç			
5366	None	4455 4456	top	1753	Lule	ayzo+pocs		Lule-Vilela	a ts o + p o k s	ayzo+pocs			
5367	None	4455 4457	top	1753	Lule	ayzo+má		Lule-Vilela	a ts o + m a	ayzo+má			
5368	None	4455 4458	top	1753	Lule	ayzo+zop		Lule-Vilela	a ts o + ts o p	ayzo+zop			
5369	j a p j a t + ts	4459 1625	steal	713	Lule	yapiát+ç		Lule-Vilela	j a p j a t + ts	yapiát+ç			
5370	None	4460	maize, corn	506	Lule	pilys		Lule-Vilela	p i l i s	pilys			
5371	None	354	old man	406	Lule	umuequé		Lule-Vilela	u m w e k e	umuequé			
5372	None	360	tobacco	974	Lule	tabacó		Lule-Vilela	t a b a k o	tabacó			
5373	None	4461	swamp	1145	Lule	acóps		Lule-Vilela	a k o p s	acóps			"estanque"
5374	None	361	swamp	1145	Lule	atilá		Lule-Vilela	a t i l a	atilá			
5375	None	1649 4462	canoe	1970	Lule	e enú		Lule-Vilela	e + e n u	e enú			barco
5376	None	4463	cotton	1850	Lule	utcu		Lule-Vilela	u t k u	utcu			
5377	None	4464	man (vs. woman)	1554	Lule	lucué		Lule-Vilela	l u k u e	lucué			
5378	None	4465 885	climb	1102	Lule	lá+ç		Lule-Vilela	l a + ts	lá+ç			
5379	w o w j o ʔ o + p	4466 3555	dark (in color)	706	Lule	uouyohó+p		Lule-Vilela	w o w j o ʔ o + p	uouyohó+p			
5380	t a t a k j e p e	368	drum	908	Lule	tataquiepé		Lule-Vilela	t a t a k j e p e	tataquiepé			
5381	None	4467	first	728	Lule	anoplési		Lule-Vilela	a n o p l e s i	anoplési			
5382	None	1677	first	728	Lule	anoti		Lule-Vilela	a n o t i	anoti			
5383	j a t a + a k s o	372 1679	rainbow	1733	Lule	yatá acsó		Lule-Vilela	j a t a + a k s o	yatá acsó			
5384	j e p k e ts	4468	open	1156	Lule	yepquéç		Lule-Vilela	j e p k e ts	yepquéç			
5385	None	897 4469	charcoal	1188	Lule	aquy opíp		Lule-Vilela	a k i + o p i p	aquy opíp			
5386	None	4470	charcoal	1188	Lule	celép		Lule-Vilela	ts l e p	celép			
5387	None	4471 4472	hot	1286	Lule	lup+íp		Lule-Vilela	l u p + i p	lup+íp			
5388	None	2860 4473	grow	479	Lule	yse+ç		Lule-Vilela	i s e + ts	yse+ç			
5389	m iː ɾ + ts	899 1696	cook	1100	Lule	miyr+ç	cook _:inf	Lule-Vilela	m iː ɾ + ts	miyrç			
5390	None	899 1696	cook	1100	Lule	myt+ç	cook _:inf	Lule-Vilela	m i t + ts	mytç			
5391	j a p ts o + ts	4474 4475	flay, skin	291	Lule	yapzo+ç		Lule-Vilela	j a p ts o + ts	yapzo+ç			
5392	None	383 4476	die, dead	2101	Lule	uec+ç		Lule-Vilela	w e k + ts	uec+ç			
5393	None	2871	old woman	907	Lule	uacaó		Lule-Vilela	w a k a o	uacaó			
5394	None	4477 4478	hut	1678	Lule	nalhá enú		Lule-Vilela	n a ɫ a + e n u	nalhá enú			nhalá enú
5395	None	4479 909	spider web	1065	Lule	emys nauá	spider net	Lule-Vilela	e m i s + n a u a	emys nauá			
5396	None	297	cow	1007	Lule	vacá		Lule-Vilela	w a k a	vacá			
5397	None	3594 4480	monkey	1350	Lule	pele+titiclé		Lule-Vilela	p e l e + t i t i k l e	pele+titiclé			
5398	a t o l o	914	lizard	632	Lule	atoló		Lule-Vilela	a t o l o	atoló			
5399	None	2275	lizard	632	Lule	humú		Lule-Vilela	ʔ u m u	humú			Blue, with a white belly
5400	None	4481	lizard	632	Lule	zauyt		Lule-Vilela	ts a w i t	zauyt			lagartija
5401	None	4482	lizard	632	Lule	upzán		Lule-Vilela	u p ts a n	upzán			lagartija
5402	j a j o	4483	lizard	632	Lule	yayó		Lule-Vilela	j a j o	yayó			Big
5403	None	914	lizard	632	Lule	taquilalá		Lule-Vilela	t a k i l a l a	taquilalá			Big
5404	a j a n	4482	lizard	632	Lule	ayán		Lule-Vilela	a j a n	ayán			Iguana
5405	None	4484	lizard	632	Lule	cuecó		Lule-Vilela	k w e k o	cuecó			lagartija salamanquesa
5406	None	4485	lizard	632	Lule	ynhelóp		Lule-Vilela	i n ʔ e l o p	ynhelóp			del brazo (?)
5407	l e m e	2277	nest	539	Lule	lemé		Lule-Vilela	l e m e	lemé			
5408	k o ɫ oi	3599	frog	503	Lule	colloi		Lule-Vilela	k o ɫ oi	colloi			
5409	None	916	goat	1502	Lule	cabra		Lule-Vilela	k a b ɾ a	cabra			
5410	None	3935 2281 4486	cock, rooster	1511	Lule	vocati lucue+p		Lule-Vilela	w o k a t i + l u k w e + p	vocati lucue+p			
5411	None	4487	pig	1337	Lule	mán		Lule-Vilela	m a n	mán			
5412	aː + a j o	921 1740	herdsman	263	Lule	aá ayó		Lule-Vilela	aː + a j o	aá ayó			
5413	None	4488	female (adj)	2262	Lule	quilip		Lule-Vilela	k i l i p	quilip			
5414	None	405	dove	1853	Lule	cuhu		Lule-Vilela	k u ʔ u	cuhu			
5415	None	4489	eagle	1905	Lule	laloló		Lule-Vilela	l a l o l o	laloló			
5416	None	4490	mouse, rat	2139	Lule	ulus		Lule-Vilela	u l u s	ulus			
5417	None	4491 4492 4493	boar	1348	Lule	pelé+man+pe	man ? ?	Lule-Vilela	p e l e + m a n + p e	pelé+man+pe			
5418	None	416 2291	lamb	820	Lule	oéca cué		Lule-Vilela	o e k a + k u e	oéca cué			
5419	None	2292	duck	1360	Lule	ualtó		Lule-Vilela	w a l t o	ualtó			
5420	None	2292 935 4494	duck	1360	Lule	ualtó lapí+p		Lule-Vilela	w a l t o + l a p i + p	ualtó lapí+p			colorado
5421	None	4495	duck	1360	Lule	calamó		Lule-Vilela	k a l a m o	calamó			blanco
5422	None	4496	duck	1360	Lule	mó		Lule-Vilela	m o	mó			pequeño
5423	None	4495	duck	1360	Lule	zacly		Lule-Vilela	ts a k l i	zacly			real
5424	None	1775	snail	1543	Lule	cúm		Lule-Vilela	k u m	cúm			
5425	None	4497 4498	fox	1312	Lule	cule+elésy	dog wild	Lule-Vilela	k u l e + e l e s i	cule elésy			
5426	j o k o n	426	rabbit	1136	Lule	yocón		Lule-Vilela	j o k o n	yocón			de la tierra
5427	None	1781	rabbit	1136	Lule	soly		Lule-Vilela	s o l i	soly			pequeño
5428	None	4499	rabbit	1136	Lule	valamát		Lule-Vilela	w a l a m a t	valamát			o vizcacha
5429	None	4500	lion	1386	Lule	uauapopo		Lule-Vilela	w a w a p o p o	uauapopo			
5430	None	433	crow	913	Lule	tucumy		Lule-Vilela	t u k u m i	tucumy			
5431	None	2299	horse (equine)	615	Lule	caválú		Lule-Vilela	k a w a l u	caválú			
5432	None	4501	beeswax	1931	Lule	camiseap		Lule-Vilela	k a m i s e a p	camiseap			no aclara qué cera
5433	ai ts a n a	4502	sandfly (midge), gnat	95	Lule	aizaná		Lule-Vilela	ai ts a n a	aizaná			
5434	None	442 2308	ram	1344	Lule	oéca lucué		Lule-Vilela	o e k a + l u k u e	oéca lucué			
5435	None	1793 2308	ram	1344	Lule	avisá lucué		Lule-Vilela	a w i s a + l u k u e	avisá lucué			
5436	None	4503 2308 442	ram	1344	Lule	sub+cué titó		Lule-Vilela	s u b + k u e + t i t o	sub+cué titó			
5437	None	4504	butterfly	1791	Lule	uolopló		Lule-Vilela	w o l o p l o	uolopló			
5438	None	4504	butterfly	1791	Lule	uamopelpél		Lule-Vilela	w a m o p e l p e l	uamopelpél			negra y grande
5439	j a n a m e j o	4505	beehive	88	Lule	yanameyo		Lule-Vilela	j a n a m e j o	yanameyo			"panal"
5440	None	454	ox	1169	Lule	vey		Lule-Vilela	w e	vey			
5441	l ei ʔ u	4506	bear	1820	Lule	leyhú		Lule-Vilela	l ei ʔ u	leyhú			hormiguero
5442	None	2960	wolf	522	Lule	toculép		Lule-Vilela	t o k u l e p	toculép			
5443	k u l eː w	2960	wolf	522	Lule	culeéu		Lule-Vilela	k u l eː w	culeéu			
5444	None	2966	wasp	1517	Lule	copás		Lule-Vilela	k o p a s	copás			
5445	j e m e ts ts	4507	wasp	1517	Lule	yemecece		Lule-Vilela	j e m e ts ts	yemecece			Black with yellow wings
5446	None	461	wasp	1517	Lule	acy		Lule-Vilela	a k i	acy			Small, lives under the ground
5447	None	2966	wasp	1517	Lule	cipá		Lule-Vilela	ts i p a	cipá			Another species
5448	n u s + s l i m ɬ i m s	4508 4509	wasp	1517	Lule	nus flymslyms	nose ?	Lule-Vilela	n u s + s l i m ɬ i m s	nus flymslyms			Black, lives in mud houses
5449	None	463 462 4510 1808	cure, heal	499	Lule	nic+uato+s+ç		Lule-Vilela	n i k + w a t o + s + ts	nic+uato+s+ç			
5450	p a l a k s p ei	4511	armpit	1886	Lule	palacspéy		Lule-Vilela	p a l a k s p ei	palacspéy			
5451	None	2324 466	deaf	996	Lule	custam+píp		Lule-Vilela	k u s t a m + p i p	custam+píp			
5452	None	3653 4512	defecate	676	Lule	hé+ç		Lule-Vilela	ʔ e + ts	hé+ç			
5453	None	4513	kidney	489	Lule	cululú		Lule-Vilela	k u l u l u	cululú			pl.
5454	s j a	982	rib	801	Lule	siá		Lule-Vilela	s j a	siá			
5455	None	469	breathe, breath	3183	Lule	suuç		Lule-Vilela	s w u ts	suuç			
5456	w a k a l + s m oi + ts	4514 4515 4516	have sexual intercourse	1785	Lule	uacál+smoi+ç		Lule-Vilela	w a k a l + s m oi + ts	uacál+smoi+ç			el hombre
5457	l u k w e + s m oi + ts	2986 4515 4516	have sexual intercourse	1785	Lule	lucué+smoi+ç		Lule-Vilela	l u k w e + s m oi + ts	lucué+smoi+ç			la mujer
5458	None	1822 2339	born (to be)	1090	Lule	tolç	be.born _:inf	Lule-Vilela	t o l + ts	tolç			
5459	None	3983 2991	bald	1125	Lule	tocó calyp		Lule-Vilela	t o k o + k a l i p	tocó calyp			"calva"
5460	None	3984 2991	bald	1125	Lule	upé calyp		Lule-Vilela	u p e + k a l i p	upé calyp			"calvo"
5461	s u k n a w ai + ts	4517 4518	rest	168	Lule	sucnauái+ç		Lule-Vilela	s u k n a w ai + ts	sucnauái+ç			
5462	None	4519 1839	tired, weary	1757	Lule	lostacsú+ç		Lule-Vilela	l o s t a k s u + ts	lostacsú+ç			
5463	None	4520 999	drowned	3187	Lule	suucleue+çç		Lule-Vilela	s w u k l e w e + tʃ ts	suucleue+çç			
5464	j o m p i + p	4521 4522	lazy	1564	Lule	yompí+p		Lule-Vilela	j o m p i + p	yompí+p			"pereza"
5465	t o + s u m ai ts	1002 4523	bathe	138	Lule	tó sumaiç	water ?	Lule-Vilela	t o + s u m ai ts	tó sumaiç			
5466	None	479 4524	pregnant	1123	Lule	hami+ç		Lule-Vilela	ʔ a m i + ts	hami+ç			
5467	None	479 4525	pregnant	1123	Lule	amihi+p		Lule-Vilela	a m i ʔ i + p	amihi+p			
5468	None	4526	eyebrow	1173	Lule	zunay		Lule-Vilela	ts u n a	zunay			
5469	e l u + w i a p	1853 4527	footprint	318	Lule	elu uyáp	foot ?	Lule-Vilela	e l u + w i a p	elu uyáp			
5470	n i k n i k m oi p e	4528	poison	655	Lule	nicnicmoipé		Lule-Vilela	n i k n i k m oi p e	nicnicmoipé			
5471	None	1015 4529	perspire	126	Lule	ahumue+ç		Lule-Vilela	a ʔ u m w e + ts	ahumue+ç			
5472	None	485 2357	cough	879	Lule	oho+ç		Lule-Vilela	o ʔ o + ts	oho+ç			
5473	None	4530 4531	snore	1983	Lule	lonho+ç		Lule-Vilela	l o n ʔ o + ts	lonho+ç			
5474	None	1861 4531	snore	1983	Lule	catatác+ç		Lule-Vilela	k a t a t a k + ts	catatác+ç			
5475	t oi w e ts i p	4532	corpse	767	Lule	toiuecip		Lule-Vilela	t oi w e ts i p	toiuecip			
5476	e w ei	4533	break wind	1159	Lule	euei		Lule-Vilela	e w ei	euei			
5477	None	3709 1864	urinate	592	Lule	ys+ç	urinate _:inf	Lule-Vilela	i s + ts	ysç			
5478	None	1866 1023	nipple, teat	796	Lule	yné cazú	breast ?	Lule-Vilela	i n e + k a ts u	yné cazú			
5479	None	4534 4535	conceive	1087	Lule	amitnitni+ç		Lule-Vilela	a m i t n i t n i + ts	amitnitni+ç			
5480	k w e + p + e w t i s i s i t + k o p oi p l e	3998 4536 4537 4538	conceive	1087	Lule	cué+p eutisisit copoiplé		Lule-Vilela	k w e + p + e w t i s i s i t + k o p oi p l e	cué+p eutisisit copoiplé			
5481	n j o p + ts	4539 1875	bury (the dead)	1719	Lule	niop+ç	_:inf	Lule-Vilela	n j o p + ts	niop+ç			
5482	None	4539 1875	bury (the dead)	1719	Lule	aléop+ç	_:inf	Lule-Vilela	a l e o p + ts	aléop+ç			
5483	None	1030 4539 1875	bury (the dead)	1719	Lule	nic+óp+ç	? _:inf	Lule-Vilela	n i k + o p + ts	nic+óp+ç			
5484	u a k eː	1031	throat	1346	Lule	uyaquée		Lule-Vilela	u a k eː	uyaquée			
5485	None	4540 4541	udder	154	Lule	yn çacíp		Lule-Vilela	i n + tʃ a k i p	yn çacíp			
5486	None	3044 4542 2377	physician	597	Lule	nup+ninicuatós+p		Lule-Vilela	n u p + n i n i k w a t o s + p	nup+ninicuatós+p			
5487	None	1038 1037 4543	well, health	1364	Lule	eci+c+ç		Lule-Vilela	e ts i + k + ts	eci+c+ç			
5488	t u k j ai s e p	1042	spine	805	Lule	tuquiaisep		Lule-Vilela	t u k j ai s e p	tuquiaisep			
5489	None	491 4544	lick	319	Lule	tacáns+ç		Lule-Vilela	t a k a n s + ts	tacáns+ç			
5490	None	1891 4545	lame	320	Lule	slocí+p		Lule-Vilela	ɫ o k i + p	slocí+p			
5491	None	492 537	live, living, life	3184	Lule	vató+ç		Lule-Vilela	w a t o + ts	vató+ç			
5492	None	3061 1896 4546	naked, bare	590	Lule	lop+taqué+p		Lule-Vilela	l o p + t a k e + p	lop+taqué+p			
5493	None	2388 2387	sneeze	1621	Lule	accisa+ç		Lule-Vilela	a k ts i s a + ts	accisa+ç			
5494	None	4547	cold (catarrh)	102	Lule	vaquémquém		Lule-Vilela	w a k e m k e m	vaquémquém			
5495	None	4548 1899	cold (catarrh)	102	Lule	nus tipç		Lule-Vilela	n u s + t i p ts	nus tipç			estar catarrado; catarro o romadizo
5496	None	1052	calf of leg	498	Lule	lataná		Lule-Vilela	l a t a n a	lataná			
5497	None	4016	vein, artery	525	Lule	pisp		Lule-Vilela	p i s p	pisp			
5498	None	4549 1055	vein, artery	525	Lule	eué uyn	blood ?	Lule-Vilela	e u e + w i n	eué uyn			
5499	None	4017 4550	buttocks	834	Lule	lé zop		Lule-Vilela	l e + ts o p	lé zop			
5500	s u m aː m oi + p	502 1916	intoxicated	1463	Lule	sumaamói+p		Lule-Vilela	s u m aː m oi + p	sumaamói+p			
5501	None	4551	swelling	1903	Lule	apocó		Lule-Vilela	a p o k o	apocó			
5502	None	503 2411	shiver	52	Lule	yquequé+ç		Lule-Vilela	i k e k e + ts	yquequé+ç			
5503	None	1924 2411	shiver	52	Lule	zototós+ç		Lule-Vilela	ts o t o t o s + ts	zototós+ç			
5504	None	2413 2414	molartooth	1049	Lule	llu+uauhá		Lule-Vilela	ɫ u + w a u ʔ a	llu+uauhá			
5505	None	4552	ankle	803	Lule	elucocós		Lule-Vilela	e l u k o k o s	elucocós			
5506	k a w j a p	4553	wound, sore	1109	Lule	cauyáp		Lule-Vilela	k a w j a p	cauyáp			
5507	None	3778 4554	itch	148	Lule	zul+ç	itch _:inf	Lule-Vilela	ts u l + ts	zulç			
5508	n e k ei + ts	1933 2427 1932	wake up	1602	Lule	ne+quei+ç	wake.up _:inf	Lule-Vilela	n e k ei + ts	nequeiç			
5509	u ʔ o ʔ o a j a t i + p	4555 4028	blind	1653	Lule	uhohoayati+p		Lule-Vilela	u ʔ o ʔ o a j a t i + p	uhohoayati+p			
5510	None	3094 4028	blind	1653	Lule	zutiqui+p		Lule-Vilela	ts u t i k i + p	zutiqui+p			
5511	t iː	1941	iron	621	Lule	tiy		Lule-Vilela	t iː	tiy			tyy
5512	k e l ei p	4556	window	1375	Lule	queléip		Lule-Vilela	k e l ei p	queléip			
5513	None	1946 4557	shut, close	1046	Lule	neum+ç		Lule-Vilela	n e u m + ts	neum+ç			la boca
5514	j a p + t a k + l e + ts	2432 4216 1948 4557	shut, close	1046	Lule	yap+tac+le+ç		Lule-Vilela	j a p + t a k + l e + ts	yap+tac+le+ç			puerta o ventana
5515	None	4216 1948 4557	shut, close	1046	Lule	tac+le+ç		Lule-Vilela	t a k + l e + ts	tac+le+ç			agujero o portillo
5516	None	1948 4557	shut, close	1046	Lule	slhe+ç		Lule-Vilela	ɫ ʔ e + ts	slhe+ç			cántaro o porongo
5517	None	4558 2432 4557	shut, close	1046	Lule	yquy pací+ç		Lule-Vilela	i k i + p a k i + ts	yquy pací+ç			libro
5518	None	2434	ladder	1464	Lule	lalapé		Lule-Vilela	l a l a p e	lalapé			
5519	None	1964 4559 4560	fear, fright	781	Lule	n+ecslus+ç		Lule-Vilela	n + e k ɫ u s + ts	n+ecslus+ç			espantarse
5520	None	1962 4561 4560	fear, fright	781	Lule	usi+c+ç		Lule-Vilela	u s i + k + ts	usi+c+ç			
5521	None	520 1965	join, unite	1743	Lule	stuc+ç		Lule-Vilela	s t u k + ts	stuc+ç			
5522	aː l a k i + ts	3799 1965	join, unite	1743	Lule	aalací+ç		Lule-Vilela	aː l a k i + ts	aalací+ç			
5523	None	1973 522 521	insane, crazy	1899	Lule	yce+pulus+p		Lule-Vilela	i ts + p u l u s + p	yce+pulus+p			
5524	None	1973 4562 521	insane, crazy	1899	Lule	yce+tniccám+p		Lule-Vilela	i ts + t n i k k a m + p	yce+tniccám+p			
5525	a u ʔ aː	523	shade, shadow	1388	Lule	auhaá		Lule-Vilela	a u ʔ aː	auhaá			
5526	None	4563	parents	505	Lule	pelé		Lule-Vilela	p e l e	pelé			
5527	s ai k s + ts	4564 4565	write	1672	Lule	saics+ç	write _:inf	Lule-Vilela	s ai k s + ts	saicsç			
5528	a ʔ a w ei + ts	4566 4567	pity	1141	Lule	ahauei+ç		Lule-Vilela	a ʔ a w ei + ts	ahauei+ç			
5529	p ei p + m a	1118 4568	inside, in	1606	Lule	peip+má		Lule-Vilela	p ei p + m a	peip+má			
5530	w o w j o ʔ o	4569	darkness	11	Lule	uouyoho		Lule-Vilela	w o w j o ʔ o	uouyoho			
